id;external_id;code;name;new_code;active_pupha_data
1;24507;96121;neutral connecting;48073;false
2;21880;54037;Investment Account Rustic Investment Account;4521;true
3;30914;33284;website US Dollar Fresh;65652;false
4;22847;33162;Human olive;65655;false
5;99039;97639;1080p;29317;true
6;25475;34264;generating info-mediaries Chief;7165;false
7;45868;10597;parse transmit;60218;true
8;1743;91707;conglomeration global;87765;true
9;34063;30952;Generic Plastic Hat connecting;43069;false
10;76679;78926;payment ubiquitous;43139;true
